canonical_word,alias_word,action,match_mode,note
底价,開低價,auto_hit,contains,繁体字变体
底价,直接底价,auto_hit,contains,扩展表述
底价,直接底價,auto_hit,contains,繁体字变体
底价,直接开底价,auto_hit,contains,扩展表述
底价,直接開底價,auto_hit,contains,繁体字变体
底价,价格底价,auto_hit,contains,扩展表述
底价,價格底價,auto_hit,contains,繁体字变体
底价,这个价格底价,auto_hit,contains,扩展表述
底价,這個價格底價,auto_hit,contains,繁体字变体
底价,给底价,auto_hit,contains,扩展表述
底价,給底價,auto_hit,contains,繁体字变体
底价,放底价,auto_hit,contains,扩展表述
底价,放底價,auto_hit,contains,繁体字变体
底价,到底价,auto_hit,contains,扩展表述
底价,到底價,auto_hit,contains,繁体字变体
地板,地版,conditional_hit,contains,ASR错误识别
地板,底板,conditional_hit,contains,ASR错误识别
地板,低板,conditional_hit,contains,ASR错误识别
地板,地板价,auto_hit,contains,扩展表述
地板,地板價,auto_hit,contains,繁体字变体
地板,地板价格,auto_hit,contains,扩展表述
地板,地板價格,auto_hit,contains,繁体字变体
地板,地板了,conditional_hit,contains,日常语境也可能使用
地板,打到地板,conditional_hit,contains,日常语境也可能使用
地板,地板线,conditional_hit,contains,日常语境也可能使用
地板,地板線,conditional_hit,contains,繁体字变体
鞋底板,鞋底版,conditional_hit,contains,ASR错误识别
鞋底板,鞋地板,conditional_hit,contains,ASR错误识别
鞋底板,鞋底板子,conditional_hit,contains,扩展表述
鞋底板,鞋底盤,conditional_hit,contains,繁体字变体
鞋底板,鞋底盘,conditional_hit,contains,ASR错误识别
鞋底板,鞋底部,conditional_hit,contains,扩展表述
鞋底板,鞋底下,conditional_hit,contains,扩展表述
鞋底板,鞋底下面,conditional_hit,contains,扩展表述
底板,底版,conditional_hit,contains,ASR错误识别
底板,地板,conditional_hit,contains,ASR错误识别
底板,底盤,conditional_hit,contains,繁体字变体
底板,底盘,conditional_hit,contains,ASR错误识别
底板,底板子,conditional_hit,contains,扩展表述
底板,底部板,conditional_hit,contains,扩展表述
底板,鞋底板,conditional_hit,contains,扩展表述
低价,底价,auto_hit,contains,ASR错误识别
低价,低价了,conditional_hit,contains,日常语境也可能使用
低价,低價了,conditional_hit,contains,繁体字变体
低价,低价款,auto_hit,contains,扩展表述
低价,低價款,auto_hit,contains,繁体字变体
低价,低价位,auto_hit,contains,扩展表述
低价,低價位,auto_hit,contains,繁体字变体
低价,超低价,auto_hit,contains,扩展表述
低价,超低價,auto_hit,contains,繁体字变体
假一,假一赔,auto_hit,contains,扩展表述
假一,假一賠,auto_hit,contains,繁体字变体
假一,假一赔三,auto_hit,contains,扩展表述
假一,假一賠三,auto_hit,contains,繁体字变体
假一,假一赔十,auto_hit,contains,扩展表述
假一,假一賠十,auto_hit,contains,繁体字变体
假一,假一罚,auto_hit,contains,扩展表述
假一,假一罰,auto_hit,contains,繁体字变体
假一,假1,conditional_hit,exact,数字替换
假一,假壹,conditional_hit,contains,繁体字变体
假一,假一陪,conditional_hit,contains,ASR错误识别
罚,罰,auto_hit,contains,繁体字变体
罚,处罚,auto_hit,contains,扩展表述
罚,處罰,auto_hit,contains,繁体字变体
罚,罚款,auto_hit,contains,扩展表述
罚,罰款,auto_hit,contains,繁体字变体
罚,被罚,auto_hit,contains,扩展表述
罚,被罰,auto_hit,contains,繁体字变体
罚,平台罚,auto_hit,contains,扩展表述
罚,平台罰,auto_hit,contains,繁体字变体
罚,违规罚,auto_hit,contains,扩展表述
罚,違規罰,auto_hit,contains,繁体字变体
罚,罚钱,auto_hit,contains,扩展表述
罚,罰錢,auto_hit,contains,繁体字变体
罚,罚单,conditional_hit,contains,日常语境也可能使用
罚,罰單,conditional_hit,contains,繁体字变体
赔,賠,auto_hit,contains,繁体字变体
赔,赔付,auto_hit,contains,扩展表述
赔,賠付,auto_hit,contains,繁体字变体
赔,赔偿,auto_hit,contains,扩展表述
赔,賠償,auto_hit,contains,繁体字变体
赔,包赔,auto_hit,contains,扩展表述
赔,包賠,auto_hit,contains,繁体字变体
赔,退赔,auto_hit,contains,扩展表述
赔,退賠,auto_hit,contains,繁体字变体
赔,赔钱,auto_hit,contains,扩展表述
赔,賠錢,auto_hit,contains,繁体字变体
赔,赔三,auto_hit,contains,扩展表述
赔,賠三,auto_hit,contains,繁体字变体
赔,赔十,auto_hit,contains,扩展表述
赔,賠十,auto_hit,contains,繁体字变体
全网,全網,auto_hit,contains,繁体字变体
全网,全往,conditional_hit,contains,ASR错误识别
全网,全忘,conditional_hit,contains,ASR错误识别
全网,全王,conditional_hit,contains,ASR错误识别
全网,全完,conditional_hit,contains,ASR错误识别
全网,全网最低,auto_hit,contains,扩展表述
全网,全網最低,auto_hit,contains,繁体字变体
全网,全网第一,auto_hit,contains,扩展表述
全网,全網第一,auto_hit,contains,繁体字变体
全网,全网最,auto_hit,contains,扩展表述
全网,全網最,auto_hit,contains,繁体字变体
全网,全网价,auto_hit,contains,扩展表述
全网,全網價,auto_hit,contains,繁体字变体
全网,全网同价,auto_hit,contains,扩展表述
全网,全網同價,auto_hit,contains,繁体字变体
全网,全网销量,auto_hit,contains,扩展表述
全网,全網銷量,auto_hit,contains,繁体字变体
第一,第1,conditional_hit,contains,数字替换
第一,第一名,conditional_hit,contains,日常语境常见
第一,第1名,conditional_hit,contains,日常语境常见
第一,第一波,conditional_hit,contains,日常语境常见
第一,第1波,conditional_hit,contains,日常语境常见
第一,第一单,conditional_hit,contains,日常语境常见
第一,第1单,conditional_hit,contains,日常语境常见
第一,第一款,conditional_hit,contains,日常语境常见
第一,第1款,conditional_hit,contains,日常语境常见
第一,第一批,conditional_hit,contains,日常语境常见
第一,第1批,conditional_hit,contains,日常语境常见
第一,第一轮,conditional_hit,contains,日常语境常见
第一,第1轮,conditional_hit,contains,日常语境常见
第一,第一双,conditional_hit,contains,日常语境常见
第一,第1双,conditional_hit,contains,日常语境常见
第一,第一件,conditional_hit,contains,日常语境常见
第一,第1件,conditional_hit,contains,日常语境常见
第一,第一个,conditional_hit,contains,日常语境常见
第一,第1个,conditional_hit,contains,日常语境常见
第一,头一,conditional_hit,contains,日常语境常见
第一,首个,conditional_hit,contains,日常语境常见
第一,第一下,conditional_hit,contains,日常语境常见
黄车,黃車,conditional_hit,contains,繁体字变体
黄车,皇车,conditional_hit,contains,ASR错误识别
黄车,黄扯,conditional_hit,contains,ASR错误识别
黄车,小黄车,auto_hit,contains,扩展表述
黄车,上黄车,auto_hit,contains,动作表述
黄车,上黃車,auto_hit,contains,繁体字变体
黄车,挂黄车,auto_hit,contains,动作表述
黄车,挂黃車,auto_hit,contains,繁体字变体
黄车,拍黄车,auto_hit,contains,动作表述
黄车,拍黃車,auto_hit,contains,繁体字变体
黄车,点黄车,auto_hit,contains,动作表述
黄车,點黃車,auto_hit,contains,繁体字变体
